a,h,e,angle
6.1,3.4,1.8,85.50627636899148
13.3,17.9,1.9,-116.86862381652664
12.6,3.0,1.5,95.57814338871351
8.6,4.2,2.5,43.38515676625846
9.5,4.1,2.5,44.07073254677709
9.0,17.3,1.3,42.37990407200829
4.4,13.2,2.5,102.72832558097402
5.5,11.2,2.6,154.970379504882
7.6,3.5,1.4,84.35499977154916
4.7,7.1,2.2,-44.14673537641322
12.2,13.3,2.2,56.819009424100045
4.3,7.2,2.6,-58.32110160040777
4.6,9.9,1.8,-122.38099979894358
4.0,5.3,2.4,20.464823310942965
4.6,13.5,2.5,91.8266053102854
7.1,13.7,1.3,150.0244894857444
5.6,7.7,2.6,-88.0889864028328
13.1,19.8,1.8,-155.56406581174608
7.0,15.7,1.9,41.15251255011101
4.2,3.4,2.6,83.27344991559235
12.9,18.8,1.3,-22.816325414636086
13.8,11.3,2.7,78.35378328246976
7.2,6.5,2.1,-33.13911348525976
3.3,5.0,2.0,37.799490508968645
5.0,14.9,1.5,106.10224256332572
6.8,6.6,2.5,-50.25943023209076
9.1,15.2,2.2,11.32417326205906
5.1,6.3,1.4,3.815944255069467
9.2,13.9,2.0,79.62955062054495
10.6,2.9,1.6,99.03080612437316
4.6,4.0,2.6,62.408497122198
3.3,15.2,2.3,55.672055889300005
5.4,19.9,1.3,-22.246170228672447
5.7,7.2,1.4,-24.61270336283925
6.9,16.3,1.6,48.85153437042362
8.0,7.7,2.2,-89.09550334311548
2.9,14.6,2.3,76.95602562029167
5.1,7.0,1.8,-29.81502998962593
11.7,2.3,2.6,112.03188856392042
2.2,14.3,1.9,109.6640715907962
13.2,10.4,2.7,124.72501340366613
10.8,9.0,2.2,-152.5067266636265
7.7,16.0,2.3,-13.712768541077082
8.9,7.6,2.1,-86.95941875724121
4.8,2.9,1.8,101.04175885342988
7.4,17.8,1.4,20.77276362998474
13.6,16.2,1.4,41.85438920362925
8.5,13.6,1.6,124.30969686999744
8.1,16.6,2.3,-43.296801266426094
4.7,9.3,2.1,-117.127018298503
7.7,16.7,2.7,-80.26138159534761
9.5,8.5,2.2,-127.92671044677604
10.1,18.9,2.1,-131.33509200332725
6.5,18.6,1.8,-44.086392065899176
6.2,13.8,1.4,141.4043216531867
13.9,13.0,1.4,140.58150903410268
2.4,2.2,1.8,121.23737359624955
12.7,3.9,1.3,70.52356194793751
13.0,18.9,2.1,-168.81601797890335
11.6,5.8,2.6,-62.91672823069059
3.1,13.5,1.4,157.53894793349073
5.1,4.8,2.0,40.39840551952467
5.9,4.5,2.7,38.34775242012812
10.2,3.0,2.0,92.93549886094766
3.6,9.1,2.1,-103.92208078070102
10.7,4.5,1.8,40.31561561538032
3.2,10.0,1.4,-102.11589050540977
9.8,17.0,2.0,-47.70795698767508
7.8,12.5,2.3,115.3507608738957
11.4,6.3,1.5,-17.064589441949188
10.6,10.2,1.6,-148.01432003262863
12.9,14.4,1.6,78.56041356164772
12.7,19.2,1.7,-117.29215614985512
5.9,2.4,1.3,115.98643821166728
10.4,13.5,2.3,58.41593289514134
4.3,14.5,2.6,55.40351334135898
2.2,19.4,2.1,-58.05766458666653
11.0,4.2,2.1,43.26540145028929
7.9,7.6,1.4,-42.74587969577477
7.7,2.9,1.7,100.03198405518518
12.9,18.0,2.3,-164.44522543524045
9.3,13.3,2.3,76.91807103505701
9.4,10.6,1.3,-129.7302632635853
12.4,10.0,1.5,-142.2747490524554
11.7,12.6,1.4,158.83124659763325
8.9,4.7,1.8,37.92808558787858
4.1,15.7,2.0,52.51253449909818
4.8,7.3,1.5,-28.917420628288863
12.7,8.2,2.5,-157.92746806965224
2.2,13.6,1.5,151.24174665306634
7.8,5.9,2.7,-36.094637445643336
3.9,17.6,1.8,7.863368383703334
13.8,8.4,2.4,-167.77613556350713
10.6,6.5,2.3,-68.59645701700904
7.9,9.0,2.3,-137.8408953123079
7.6,4.9,2.3,22.66728818219497
2.6,12.0,1.7,-173.31937728148907
10.2,11.8,1.4,-174.54021337696014
2.4,6.6,1.5,-2.776904148616251
2.8,4.2,2.7,58.896559056740735
8.1,18.8,2.2,-112.67691598573494
3.1,8.4,1.3,-51.660908185827296
11.9,2.6,2.7,99.70848396383276
11.8,17.1,1.9,-65.30536838101185
10.7,8.1,2.5,-139.2334502228352
3.8,4.3,1.9,59.7583402600156
9.9,11.3,2.1,151.7941782917775
8.1,12.2,2.6,106.66610575371394
13.7,17.8,1.5,-39.92773133737038
9.8,3.1,2.4,86.32906162408196
11.6,14.6,2.0,30.27481508188098
7.4,6.1,1.6,-0.9787657808042184
7.1,5.6,2.4,-6.675740304808498
11.9,16.5,2.2,-88.04921321341547
2.9,4.4,2.0,57.165648153543295
3.5,18.4,2.7,-78.42682684932642
4.0,9.7,2.1,-126.11575192134956
6.5,9.8,2.4,-158.53790509161254
12.0,18.1,2.4,-164.53574984535413
11.7,8.2,1.7,-101.08903649366812
2.6,16.4,1.4,76.79139727607044
6.6,13.6,2.5,74.41316589736716
8.2,11.7,1.5,-173.09691914601723
6.8,17.6,1.7,-2.596539257687552
9.9,8.4,1.8,-103.6031195964906
9.5,17.3,1.6,-0.8382090568881756
5.4,11.1,1.9,-168.23818479009256
7.1,2.7,2.1,104.69836786104956
2.1,10.5,1.9,-133.89716958583716
13.9,2.7,2.6,91.90237286908234
3.9,15.4,2.0,63.016249048255695
3.2,8.5,2.0,-78.02640926652816
6.3,5.9,1.7,6.022365287459829
4.3,15.3,1.6,89.77806441021215
7.8,3.8,1.4,75.48685743547634
5.9,15.5,1.9,55.09155424697302
13.5,8.0,1.7,-106.61123528788626
13.1,13.9,2.7,-63.74043259152951
2.5,14.0,2.2,102.54550170672476
10.9,4.8,1.8,27.84602479993675
5.2,4.2,2.3,56.93831758395463
6.9,12.6,2.3,117.4872270627534
8.5,16.5,1.9,-0.418651667558363
13.4,8.6,1.3,-84.23702409096559
6.9,3.1,2.5,90.02840633488806
13.9,2.0,2.2,122.49951208152667
5.5,12.7,2.0,137.98216123085754
10.5,2.7,2.3,100.74872574159993
10.0,6.3,2.7,-75.17548304962159
8.4,9.0,2.7,-159.52049663209905
10.4,11.3,2.5,126.78856914158509
10.0,7.8,2.1,-102.42795017677832
4.1,4.0,2.3,65.77665013132989
3.5,9.7,1.8,-110.9453136244506
14.0,16.8,1.4,17.544330767372447
4.0,7.5,2.3,-57.65684816423076
2.3,7.1,2.7,-43.316907113635416
8.7,13.1,2.7,60.72647157508902
12.6,13.9,2.3,7.583204859887356
10.0,15.8,2.6,-74.56295602163614
4.2,15.1,2.3,53.02965745047264
6.2,16.7,1.7,30.799439456191347
7.5,2.6,1.7,108.94574506672632
13.8,15.7,2.4,-120.85093844782902
3.8,16.7,2.1,16.063162221582974
12.3,15.7,1.4,65.59139502869716
9.7,10.3,1.6,-146.709412134869
6.3,13.2,1.7,137.36405122181387
4.2,17.3,2.2,-13.820297646878087
7.0,8.4,1.9,-91.6877234337982
7.7,3.6,2.1,74.81243739085393
3.4,6.6,2.2,-19.40225958945336
9.1,5.0,1.9,23.31310507747797
4.6,10.6,2.2,-162.98265579207117
6.4,14.1,1.4,132.433318349143
8.9,20.0,2.3,-170.24472644936816
4.9,16.2,1.6,60.89084089655117
5.4,8.2,1.6,-62.930099931493416
9.4,8.4,1.4,-72.85627618301505
5.1,12.1,2.0,157.93982150094232
11.9,15.1,1.3,99.14111935736338
13.8,18.6,2.7,124.4296761602044
10.8,8.3,1.8,-106.03524424328428
6.0,6.9,1.8,-30.188134752437364
9.0,5.6,1.5,14.983385393496654
3.2,11.4,2.3,175.22070947338773
13.0,5.0,2.5,-30.09893746823249
12.6,10.3,1.5,-151.55728808358717
11.8,19.3,1.8,-125.62207244104432
5.1,4.1,1.5,67.61890785385684
9.1,14.5,1.7,85.89449672109285
2.2,4.8,2.1,45.17354200021572
7.0,2.6,1.3,110.38689177576325
5.6,12.9,1.3,175.39562788861411
3.9,5.2,1.7,33.95006333919719
4.1,4.7,2.7,37.68455154105027
6.9,13.4,1.3,158.75329199494414
3.0,19.9,1.7,-49.51770763676726
9.2,3.0,1.3,98.80219030927697
7.6,4.2,1.8,58.22327000504936
10.4,5.5,1.9,-2.682731897380012
10.4,17.9,2.0,-89.76950279539082
