a,h,e,angle
3.9,9.5,2.72,70.3026033861287
12.0,4.2,2.72,-134.80007746919424
7.1,15.1,2.53,-111.4342459108682
6.2,7.2,2.25,149.6117566625129
11.2,4.5,2.25,-133.29556490391423
11.2,6.7,2.25,134.35746671303485
4.1,12.8,1.24,39.21788236897137
3.3,4.3,1.24,-104.33476475537364
4.1,17.2,1.24,-70.61853756958834
9.8,14.8,2.25,-104.74099648039063
12.3,17.8,2.72,49.11100555202334
8.2,19.7,2.25,99.06643056544507
4.0,9.0,1.24,136.83433192580557
10.9,4.0,2.72,-121.1069179725498
13.1,11.0,2.53,-26.93166427892345
4.6,16.4,2.72,-144.1832488374363
12.7,9.0,1.24,119.17472466506491
4.6,3.3,2.53,-83.41316015067368
12.3,13.5,1.24,4.681074779041047
12.6,3.0,1.24,-73.49941893700974
8.4,9.8,1.24,108.41812130513982
8.0,9.9,2.25,48.6695921459906
12.8,19.3,2.53,18.62654535332012
2.7,5.5,2.72,-146.23494718383566
8.2,17.5,2.25,176.5571400729418
9.7,19.8,1.24,-150.8335336159539
11.1,11.6,2.72,-39.33604617892527
4.7,18.1,1.24,-96.2316097102074
2.2,12.8,2.53,-14.050421870739816
3.6,17.9,1.24,-88.25555033138163
11.5,7.1,2.72,90.09912677838756
13.8,13.5,2.72,-152.03791399332871
6.9,16.3,1.24,-53.2356904358489
14.0,12.4,1.24,27.63143850920685
6.2,2.8,2.25,-69.91879598267546
3.6,11.3,2.25,34.258128106764325
6.9,7.5,2.53,123.64273370536591
9.0,17.2,2.72,128.43320395351788
9.9,18.6,2.25,113.12016000615876
8.7,10.2,2.53,21.7162278329747
5.9,15.5,2.25,-98.65948147576924
3.9,13.9,2.72,-63.30255016592301
3.8,7.9,2.72,126.18657816769796
3.6,9.1,2.25,101.825154452412
10.8,13.4,2.25,-64.83875920190806
7.8,17.6,2.53,151.56292418044242
3.2,15.8,2.25,-92.12382414724104
10.7,7.4,2.25,110.37387121703264
4.2,3.4,2.72,-86.53523262872388
12.0,6.4,2.72,113.94383725773017
8.3,8.2,1.24,151.03160029124965
8.8,16.2,2.53,-168.23481808384977
4.5,14.8,2.72,-93.4068666515028
11.6,19.7,2.53,19.096172309697877
8.5,2.6,2.53,-66.20925836976491
9.2,7.3,2.53,112.67668034013836
7.3,7.4,2.25,135.6626258909777
11.0,3.5,1.24,-85.74785972009362
2.8,9.3,2.72,85.07176603352285
9.4,19.3,2.53,67.4761856235732
12.6,7.3,2.72,70.90363964509781
7.6,14.4,2.25,-76.29462380806363
10.2,8.1,2.53,75.16367441684315
5.8,5.1,2.53,-141.34242505045788
9.6,11.6,2.25,-8.798247543362134
5.3,19.0,1.24,-118.36536409934156
11.9,15.8,1.24,-51.319779328749405
11.9,9.2,2.53,27.09835644387473
13.6,19.1,1.24,-143.84292664117814
7.6,3.4,2.72,-90.64554238840748
7.7,9.4,2.72,44.3662943959904
9.5,14.3,2.72,-117.66606702636182
12.4,4.1,2.53,-127.5644308130654
2.3,14.4,2.72,-68.97410955646508
4.3,7.2,2.72,147.6517722420297
13.4,15.8,2.72,94.33996457086256
13.5,15.3,1.24,-42.50044073995207
7.7,2.9,1.24,-70.388457826755
12.1,8.0,2.72,52.05060303839379
13.3,14.2,2.72,175.38968757100258
10.5,10.7,2.72,-11.084108691116192
6.7,2.1,2.25,-51.81915417345221
7.1,12.9,2.53,-44.26868748266139
7.5,12.8,2.25,-30.0096867727652
10.5,17.3,2.53,119.6951550408762
7.8,19.8,2.53,75.93482536991237
13.6,14.7,2.25,-148.40688183994675
6.4,17.0,1.24,-69.88128349471822
6.3,4.4,2.53,-119.11429264004248
12.9,12.2,1.24,34.99618632575768
8.8,3.1,1.24,-75.63703444292169
11.2,17.6,2.72,74.51928074519769
3.3,19.6,2.25,158.2535794147213
7.7,5.1,1.24,-125.3267155453267
2.9,2.2,2.25,-53.846516118858965
10.4,2.6,1.24,-62.95516809696121
10.7,16.2,1.24,-58.85371978430644
13.2,12.6,2.72,-91.01703472608756
10.3,7.5,2.53,95.58767930884274
10.6,16.7,2.72,121.53917708966462
12.5,7.9,2.53,61.27793803076876
7.9,8.3,2.25,99.99232900490698
7.7,16.0,2.53,-147.5910240277544
12.0,17.4,2.25,121.68534653002553
12.2,16.2,2.72,107.19863881413526
4.3,18.2,2.25,-169.09778659734874
2.2,15.0,2.53,-77.52730120043373
2.6,6.1,2.72,-165.2039169885718
3.7,12.9,2.25,-12.77245601652224
4.1,6.2,2.53,-171.7205716824055
9.8,12.6,2.53,-50.995365866217895
2.3,10.1,1.24,111.0266091842751
7.9,10.5,1.24,91.07425435125477
10.5,15.1,2.53,-147.14938479179438
3.3,2.1,1.24,-50.365101619448346
4.8,19.7,1.24,-134.8688484570545
5.5,13.4,2.53,-49.3054122178543
4.1,8.4,2.25,121.44835328614454
6.1,3.4,2.25,-86.09612315249605
12.0,2.1,1.24,-51.03144655517397
5.7,10.1,1.24,105.81496312048994
11.6,2.2,2.25,-55.91985998787044
8.9,4.7,2.25,-132.80377429464298
8.9,11.2,2.72,-15.457287160064435
11.0,18.8,2.25,90.36432273910071
11.5,15.9,2.53,159.8826905657536
13.0,5.0,2.53,-175.89701414935092
3.6,15.7,1.24,-32.65706436072085
11.9,4.8,2.53,-157.7285560824246
4.3,13.8,2.53,-54.16081441847307
2.3,3.5,2.25,-86.57421539032062
3.4,5.9,1.24,-143.4816191198224
3.5,9.7,2.25,83.5301614483298
3.4,10.3,1.24,104.43439836466482
13.4,7.1,2.25,98.43664735334336
5.3,8.0,2.53,117.68625474986068
13.4,13.7,1.24,-2.7018178318547186
10.1,2.1,2.53,-52.95305813405315
12.7,13.3,2.72,-116.25071363090774
6.6,11.4,2.72,-6.59815412587712
4.9,3.8,1.24,-92.04113333454966
4.3,9.4,2.53,77.78613923822846
8.8,5.3,1.24,-131.52413284586856
5.0,18.5,2.53,156.01459527493802
5.8,16.1,1.24,-46.35825527964797
2.1,17.8,2.25,-142.77155890537264
9.3,15.5,2.53,-147.17048183282697
13.7,11.9,2.53,-63.03452086172
12.4,17.3,1.24,-90.6073073897908
2.0,18.4,1.24,-97.56556548401048
10.0,2.7,2.25,-69.28271939825166
6.5,7.6,2.72,115.91635464923836
3.2,18.0,2.25,-154.89326915839882
8.6,17.4,1.24,-83.79691599259893
7.2,16.7,2.53,-168.30708302199966
8.3,16.9,2.53,171.2879774156689
12.8,12.8,1.24,21.451163486285196
3.8,3.6,1.24,-87.38107547294439
7.4,15.6,1.24,-36.68823807933321
2.6,12.7,2.25,-1.3903003957908964
6.8,14.7,1.24,-13.843564453020564
11.0,5.7,1.24,-144.39905414886178
3.1,5.4,2.53,-142.45684726445458
10.4,17.9,2.25,131.12761305847118
5.6,19.4,2.53,119.38317623536358
9.5,7.8,1.24,160.02714136561374
3.8,5.7,2.72,-156.45418471430588
7.5,4.0,2.72,-110.25036936805898
2.1,11.2,2.53,35.122334002414206
4.7,13.7,2.25,-40.26731878297085
5.2,6.4,2.25,-177.55489046551344
8.3,6.0,1.24,-149.57474948350531
4.6,7.7,2.25,141.85871374022744
6.3,17.5,2.72,160.26577752664036
11.2,11.1,1.24,67.95677836475978
7.2,8.0,1.24,158.20072399985904
2.5,17.7,1.24,-81.39687976930017
7.0,2.5,2.72,-63.23058357912077
7.9,14.9,1.24,-20.204132668603084
12.2,18.4,2.53,50.78742847906242
5.8,7.3,2.53,139.42189779846183
12.2,11.8,2.72,-55.492070161080704
9.1,10.1,2.25,35.20816077751445
2.5,13.3,2.25,-18.23444893791147
5.1,17.9,2.72,161.60914924408195
9.3,17.7,2.25,153.89281027798629
8.0,14.3,1.24,-5.491318316287624
4.4,8.8,2.72,90.12277616699592
4.9,5.9,2.72,-168.67415791842825
11.6,13.1,2.72,-96.6528292361012
9.7,15.4,2.25,-124.516742959991
3.7,15.1,2.25,-74.56015062698668
10.9,8.4,2.72,50.66182951147898
7.1,6.3,2.72,161.79561678383035
7.8,13.2,2.72,-66.55588359894006
10.8,9.0,2.53,41.70306785496331
7.1,4.2,1.24,-102.9030815114163
2.1,15.6,2.25,-81.20961790705387
2.8,13.7,2.72,-51.63965467293699
9.3,19.9,2.25,78.46775508887214
7.6,7.8,2.72,99.01820798877289
13.3,7.7,1.24,154.47433829147835
3.1,3.2,2.72,-80.0917595165007
6.7,10.9,1.24,83.01204645908915
8.8,7.4,2.72,103.38932307655728
3.2,11.4,2.53,22.0737991696576
13.0,16.0,1.24,-59.594485716504416
9.9,16.4,2.53,166.203862425753
13.1,6.6,2.72,93.73458076528205
9.9,12.0,2.72,-43.73939747282083
2.1,13.4,2.53,-31.01503500882444
6.0,4.0,1.24,-96.88991923345615
3.2,13.6,2.53,-42.4571695382865
