a,h,e,phase
9.1,12.3,2.25,-384.635717206278
11.1,11.6,2.72,-399.33604617892524
3.9,11.7,2.72,-359.1239306546333
7.6,12.2,2.53,-386.6448863317067
3.8,12.3,2.53,-368.19023235127537
8.7,12.4,2.53,-398.95165013286794
12.8,12.8,1.24,-338.5488365137148
9.0,12.9,1.24,-333.16458388305966
12.5,12.3,2.25,-403.9997135602307
5.3,12.4,2.25,-366.84221187579533
10.2,12.5,2.25,-396.0301680301578
5.2,13.0,1.24,-327.4513313499731
8.8,11.8,2.72,-391.3519012412934
13.6,12.5,2.25,-422.54883575093277
6.4,12.6,2.25,-378.09936853986045
13.9,13.0,1.24,-346.61612520684116
10.1,13.1,1.24,-340.6106183590466
2.6,12.7,2.25,-361.3903003957909
12.2,11.8,2.72,-415.49207016108073
5.0,11.9,2.72,-371.353854648066
9.9,12.0,2.72,-403.7393974728208
2.9,13.2,1.24,-328.6883595399286
6.3,13.2,1.24,-335.3531593232815
11.2,13.3,1.24,-347.27366567106543
4.9,12.5,2.53,-379.9664557461279
13.3,12.0,2.72,-438.06999216806736
9.8,12.6,2.53,-410.99536586621787
6.0,12.7,2.53,-392.0055892869077
6.1,12.1,2.72,-383.9775464326647
2.3,12.2,2.72,-364.27917944816454
2.2,12.8,2.53,-374.0504218707398
7.4,13.4,1.24,-341.94092697604697
11.3,12.7,2.25,-408.76052403315555
11.0,12.2,2.72,-416.3362319841502
7.2,12.3,2.72,-396.46171311946955
3.4,12.4,2.72,-376.4793572657912
7.5,12.8,2.25,-390.0096867727652
12.3,13.5,1.24,-355.31892522095893
3.7,12.9,2.25,-372.77245601652226
12.4,12.9,2.25,-420.7737478786047
8.6,13.0,2.25,-401.15033462457524
10.9,12.8,2.53,-424.0372568217918
12.1,12.4,2.72,-434.70782302871305
8.5,13.6,1.24,-349.5483291376461
8.3,12.5,2.72,-409.3291811860496
13.4,13.7,1.24,-362.7018178318547
9.6,13.8,1.24,-356.207770496972
4.8,13.1,2.25,-383.8427805046111
2.4,13.9,1.24,-345.8218885519794
13.5,13.1,2.25,-441.76333268892284
5.8,13.9,1.24,-351.136783302234
7.1,12.9,2.53,-404.2686874826614
10.7,14.0,1.24,-364.13812870206345
3.3,13.0,2.53,-385.5469775302516
9.7,13.2,2.25,-412.8681149429887
12.0,13.0,2.53,-442.6155610824411
4.5,12.6,2.72,-389.04418261665
2.5,13.3,2.25,-378.23444893791145
5.9,13.3,2.25,-394.93072944147633
13.2,12.6,2.72,-451.01703472608756
10.8,13.4,2.25,-424.83875920190803
9.4,12.7,2.72,-421.4156058449041
8.2,13.1,2.53,-417.09395182781924
5.6,12.8,2.72,-401.09651418959385
4.4,13.2,2.53,-397.45117647327123
10.5,12.9,2.72,-435.3114293134785
3.5,14.1,1.24,-352.57421193035105
6.9,14.1,1.24,-359.2035725326277
6.7,13.0,2.72,-413.97038953925505
3.6,13.5,2.25,-389.1373321521031
11.6,13.1,2.72,-456.6528292361012
7.0,13.5,2.25,-406.5029111210708
11.9,13.6,2.25,-441.7054906670395
4.7,13.7,2.25,-400.26731878297085
11.8,14.2,1.24,-371.0767058953971
4.6,14.3,1.24,-359.6493744238301
8.0,14.3,1.24,-365.4913183162876
8.1,13.7,2.25,-418.4143410957478
13.1,13.2,2.53,-458.9524432474948
9.3,13.3,2.53,-429.34056477335656
12.9,14.4,1.24,-379.5658243057549
7.8,13.2,2.72,-426.55588359894006
2.1,13.4,2.53,-391.01503500882444
13.0,13.8,2.25,-456.34841572766175
5.5,13.4,2.53,-409.30541221785427
5.7,14.5,1.24,-366.9298534173699
9.1,14.5,1.24,-373.03958897100364
