a,h,e,angle
5.5,14.2,1.4,131.93958384873105
3.0,4.6,1.3,56.24415588641669
11.9,19.4,2.5,150.4588245480832
6.5,3.3,1.4,90.56572332545228
11.3,18.5,2.4,-166.49132701997468
4.1,9.1,2.4,-118.96574341756572
3.2,17.3,1.4,49.76733391169688
13.0,2.8,2.6,89.95049922289536
12.6,3.7,2.0,61.86266825946154
14.0,19.7,1.7,-147.64715440421924
12.5,2.8,2.3,94.3161474645911
2.3,18.8,2.4,-59.14280689470928
8.5,6.3,1.6,-11.461262729345789
14.0,16.0,2.5,-145.94867920798654
8.0,12.8,2.3,104.23081306243144
12.5,16.7,1.8,-42.28104417140392
2.7,18.7,2.0,-33.004959761612696
13.9,10.8,1.6,179.78864258047142
13.1,18.3,2.4,174.6839529573676
8.7,16.1,1.5,56.63029121193327
7.0,19.3,2.7,-159.06438647551985
5.9,11.1,2.2,174.15528352958023
10.7,2.3,1.9,115.8369322549542
2.1,6.8,2.6,-28.759088855428107
6.3,9.5,2.4,-147.64310489405798
13.1,17.6,1.9,-103.69841737608868
8.5,11.4,1.8,173.8253810233035
7.6,10.8,1.4,-138.09001875007715
7.8,16.9,2.0,-18.992215675801877
5.6,3.4,1.4,88.07529901109253
13.5,5.8,1.8,-29.678068220791165
13.8,17.2,1.8,-82.62518169065164
8.0,17.9,2.5,-110.40284480475296
14.0,6.5,2.6,-122.39373604429136
7.4,10.5,1.4,-128.80993564209024
7.0,4.7,2.6,26.938064055470527
4.5,3.9,1.9,71.15865071625183
4.3,5.1,1.3,41.50960022073863
12.1,4.4,2.1,29.27380176040175
10.7,16.9,1.9,-41.87498823593472
8.3,2.3,2.4,115.3822657218318
12.0,11.6,1.3,-164.76184932784537
8.0,15.7,2.6,-34.98034358170922
8.6,7.9,1.8,-78.72579863107273
4.5,5.4,1.3,32.82894202114099
9.0,19.4,2.6,179.146402568653
3.7,9.3,1.3,-78.59972436591963
2.5,12.6,1.3,-170.07613546693915
10.2,13.9,2.7,1.4250576022256505
9.3,8.2,2.2,-116.52346846505836
4.5,17.0,2.5,-27.81489527370764
6.7,15.2,2.6,5.2119291884800525
9.6,3.6,1.3,81.44901907845002
8.6,14.5,1.4,115.01554584557532
3.5,8.2,2.4,-83.03177244937285
4.0,2.4,2.1,114.99224415546962
2.0,4.5,2.0,55.28998723465483
6.9,3.9,1.4,73.13505966271539
7.7,15.3,1.8,58.67751850728245
3.9,3.7,2.3,75.66329001724809
10.0,8.5,2.6,-151.05688507681538
2.1,14.9,1.6,108.49888763242602
3.4,3.7,1.9,78.21513144090453
13.5,8.7,2.1,-157.3496001398943
13.8,5.5,2.1,-40.7671891510326
2.3,2.8,1.5,105.23784541505698
7.8,11.8,1.9,159.47022319841463
12.4,18.0,2.0,-121.56932433224463
4.8,17.5,1.8,5.374695361482787
12.1,10.2,2.7,140.33668252460882
11.8,6.9,1.6,-48.03762306515503
9.5,19.5,1.5,-60.40015958995073
2.0,8.9,1.7,-76.3465856708888
6.4,2.4,1.7,115.02895998440356
12.9,15.8,2.5,-117.70149426232103
10.2,8.1,2.1,-114.26541266014304
6.3,18.3,1.8,-32.270876582202355
9.6,8.7,1.5,-90.54609690461676
4.8,18.9,2.7,-113.73034722992126
8.8,11.1,2.1,163.56530627060496
13.8,16.5,1.4,29.915288117087545
12.3,5.4,2.6,-50.099732559063455
5.3,12.4,2.0,147.96914022791543
10.2,12.5,1.8,134.19930579580583
6.1,16.5,2.4,-21.4065222594534
13.9,8.6,1.7,-128.27233875303432
2.9,8.0,2.7,-81.47624295612944
4.9,14.0,1.8,113.12133616545404
11.8,3.2,2.3,79.55044993660451
2.9,10.2,2.6,-156.22665237295425
8.3,9.6,2.4,-163.99141158624394
11.6,18.3,1.3,0.6341484013104304
10.9,7.7,2.1,-105.87907231504651
3.7,3.4,2.2,85.61239978004326
7.2,2.9,1.3,102.08374861646156
6.1,2.7,1.3,107.78299763354649
7.6,17.3,2.4,-72.98460456066209
9.0,18.0,1.7,-35.036671645690625
3.7,15.1,1.9,79.21407415245065
13.0,3.6,1.6,73.65883956074214
9.7,3.0,1.6,96.50486783191016
3.9,9.6,1.4,-92.13059314043728
8.7,18.3,1.4,-1.000076944381815
13.2,17.0,2.2,-128.27883882338364
11.4,17.2,2.3,-117.75373915581734
10.3,3.9,1.7,65.49253800310575
7.5,12.1,1.5,178.05144973545737
5.0,19.2,2.7,-126.86201089680765
8.8,6.0,2.0,-18.786589577737725
4.9,11.1,1.5,-144.40685174317903
5.7,7.9,1.9,-67.13522419061562
13.0,14.5,2.3,-33.41734145377702
12.7,4.6,1.7,33.23447107859078
11.5,18.8,2.5,173.20060855904592
13.2,4.6,2.1,12.458288224290424
4.1,5.5,1.7,24.310852776905172
8.1,10.1,1.3,-111.89461359521972
9.5,14.4,1.3,125.21887367776164
13.0,18.2,1.6,-68.4377623785652
10.0,3.4,2.4,74.20662402332749
6.4,19.9,2.0,-106.851860344633
10.9,10.6,2.4,150.63142063322428
