row,col,phase,phase_loss,weight,score,a,h,e
3.0,9.0,-723.4628195640307,0.016042220280723996,4.561507499999999,0.016042220280723996,12.1,19.8,2.72
3.0,10.0,-726.9282051310183,0.006975533044169424,4.794305833333333,0.006975533044169424,13.1,19.4,2.72
3.0,11.0,-723.4628195640307,0.016042220280723996,4.561507499999999,0.016042220280723996,12.1,19.8,2.72
3.0,12.0,-713.082036135047,0.03302490457826934,3.5605458,0.03302490457826934,13.2,19.6,2.53
3.0,13.0,-695.8316356660871,0.02926750202459516,3.550689583333333,0.02926750202459516,14.0,18.5,2.53
3.0,14.0,-671.786806837069,0.003171190274770197,3.47787,0.003171190274770197,8.4,19.8,2.72
3.0,15.0,-641.0505360951774,0.00439554544755083,2.591808333333333,0.00439554544755083,9.1,20.0,2.25
3.0,16.0,-603.7514659892786,0.0013416279089142336,1.9929069958333334,0.0013416279089142336,5.3,19.7,2.53
3.0,17.0,-560.0413224904487,0.002073505645057594,3.3550833333333325,0.002073505645057594,11.5,15.2,2.72
3.0,18.0,-510.09202540579554,0.0037082367825860274,2.2797401166666664,0.0037082367825860274,10.6,15.1,2.53
3.0,19.0,-454.0926009477289,0.009593135228897154,0.39852540000000003,0.009593135228897154,3.6,18.2,1.24
3.0,20.0,-392.24601243232064,0.0011393854456400732,1.3454925041666665,0.0011393854456400732,5.9,12.7,2.53
4.0,0.0,-434.4788793118596,0.0012537447810245794,0.3868541999999999,0.0012537447810245794,3.8,17.4,1.24
4.0,1.0,-496.8581501245544,0.00012624263308680383,2.010298333333333,0.00012624263308680383,3.7,16.4,2.72
4.0,2.0,-553.3516735789453,0.004344487460912205,2.2008944999999995,0.004344487460912205,8.4,17.9,2.25
4.0,3.0,-603.7514659892768,0.001341627910733223,1.9929069958333334,0.001341627910733223,5.3,19.7,2.53
4.0,4.0,-647.8636383201283,0.003121933777947561,3.191206666666667,0.003121933777947561,7.4,19.6,2.72
4.0,5.0,-685.5116926648325,0.02151932498873066,3.3411,0.02151932498873066,12.6,20.0,2.25
4.0,6.0,-716.5397407472319,0.00989455582566734,4.735946249999999,0.00989455582566734,13.3,18.9,2.72
4.0,7.0,-740.8155220038761,0.22073287893636007,5.0304375,0.22073287893636007,13.5,19.8,2.72
4.0,8.0,-38.23309503805376,11.18323339212202,0.04514999999999999,11.18323339212202,4.0,2.0,1.24
4.0,9.0,-48.71508110330069,0.701247326875091,0.04514999999999999,0.701247326875091,4.0,2.0,1.24
4.0,10.0,-52.21435241432118,0.005516812514542835,0.08740875,0.005516812514542835,11.5,2.2,1.24
4.0,11.0,-48.71508110330069,0.701247326875091,0.04514999999999999,0.701247326875091,4.0,2.0,1.24
4.0,12.0,-38.23309503805376,11.18323339212202,0.04514999999999999,11.18323339212202,4.0,2.0,1.24
4.0,13.0,-740.815522003877,0.22073287893545057,5.0304375,0.22073287893545057,13.5,19.8,2.72
4.0,14.0,-716.5397407472319,0.00989455582566734,4.735946249999999,0.00989455582566734,13.3,18.9,2.72
4.0,15.0,-685.5116926648334,0.021519324989640154,3.3411,0.021519324989640154,12.6,20.0,2.25
4.0,16.0,-647.8636383201301,0.0031219337761285715,3.191206666666667,0.0031219337761285715,7.4,19.6,2.72
4.0,17.0,-603.7514659892786,0.0013416279089142336,1.9929069958333334,0.0013416279089142336,5.3,19.7,2.53
4.0,18.0,-553.3516735789462,0.004344487460002711,2.2008944999999995,0.004344487460002711,8.4,17.9,2.25
