a (Top Surface Length),h (Height),e,phase
9.1,4.3,1.24,-105.8251618661492
4.7,4.2,2.25,-107.3953791910709
7.9,4.6,2.72,-133.7977358149025
10.8,4.6,2.72,-147.634015391246
6.3,4.4,2.53,-119.11429264004248
7.6,4.2,2.25,-112.28202032399273
11.3,4.6,2.72,-150.64418649580392
12.5,4.3,1.24,-107.72835924092134
9.2,4.4,2.53,-127.79182956534824
4.1,4.7,2.72,-124.91333789137872
12.6,4.4,2.53,-143.01645926807407
2.4,4.4,1.24,-106.8294123150694
11.0,4.2,2.25,-120.95039454714598
13.9,4.2,2.25,-132.445283161402
7.0,4.7,2.72,-134.0181981207181
3.8,4.3,2.25,-109.32685749362128
6.7,4.3,2.25,-113.82432592329688
2.5,4.5,2.53,-114.8302627733401
9.9,4.7,2.72,-147.21238537429295
13.3,4.7,2.72,-170.13585996137888
5.4,4.5,2.53,-120.14908083046384
8.3,4.5,2.53,-128.36962941792106
5.3,4.4,1.24,-107.18893268239812
11.7,4.5,2.53,-142.6836515731425
3.2,4.8,2.72,-125.78620701725902
9.6,4.3,2.25,-120.56775747002476
10.1,4.3,2.25,-121.85614345033794
4.5,4.6,2.53,-121.17475834944702
7.4,4.6,2.53,-129.17090900300423
13.0,4.3,2.25,-132.14058447787593
6.1,4.8,2.72,-134.29079962423884
8.2,4.4,1.24,-108.2360800636238
9.0,4.8,2.72,-146.87077203833186
2.9,4.4,2.25,-111.27325389926254
11.6,4.4,1.24,-109.71419022803732
10.3,4.6,2.53,-140.17373006011547
5.8,4.4,2.25,-115.13996327469631
4.4,4.5,1.24,-109.61299857728132
8.7,4.4,2.25,-121.45207736569256
12.1,4.4,2.25,-132.88866218817296
13.7,4.6,2.53,-160.9769133903093
2.0,4.5,2.25,-112.96577290901205
3.6,4.7,2.53,-122.08597783417405
12.4,4.8,2.72,-168.56577690822613
2.3,4.9,2.72,-127.2436900529321
5.2,4.9,2.72,-134.8425775766601
7.3,4.5,1.24,-110.00910230481416
4.9,4.5,2.25,-116.51758999947472
10.2,4.5,1.24,-111.5054972040856
7.8,4.5,2.25,-122.6021607311157
10.7,4.5,1.24,-111.65528207690268
8.1,4.9,2.72,-146.52343635595656
6.5,4.7,2.53,-129.52886702302334
9.4,4.7,2.53,-140.35303289559212
13.6,4.5,1.24,-113.84603467208288
12.8,4.7,2.53,-158.9136489905139
11.2,4.5,2.25,-133.29556490391423
4.0,4.6,2.25,-118.00571210373164
6.9,4.6,2.25,-123.72647583409024
9.8,4.6,2.25,-132.1302037439711
2.7,4.8,2.53,-123.64942586712428
11.0,4.9,2.72,-163.1957838794632
3.5,4.6,1.24,-111.51865672842126
13.2,4.6,2.25,-146.4145994691769
6.4,4.6,1.24,-112.15731102263156
9.3,4.6,1.24,-113.41235460259168
4.3,5.0,2.72,-135.1342623741664
12.7,4.6,1.24,-115.97444088188604
7.2,5.0,2.72,-146.1624091440822
3.1,4.7,2.25,-119.51505645914828
6.0,4.7,2.25,-124.54754786609308
8.9,4.7,2.25,-132.76184876850934
12.3,4.7,2.25,-146.49427521977464
2.2,4.8,2.25,-121.03387388212994
10.1,5.0,2.72,-162.23431557016983
13.5,5.0,2.72,-192.17127681364204
5.1,4.8,2.25,-126.2222546087889
2.6,4.7,1.24,-114.07334711088195
5.6,4.8,2.53,-130.27772574956643
8.0,4.8,2.25,-133.48947421147912
5.5,4.7,1.24,-115.06252013386953
8.5,4.8,2.53,-140.42353228931702
10.9,4.8,2.25,-144.07939766757738
11.4,4.8,2.53,-154.81148244324112
8.4,4.7,1.24,-115.4650439629908
11.8,4.7,1.24,-118.5877419431793
3.4,5.1,2.72,-135.66434005781682
6.3,5.1,2.72,-146.00848840343264
